68  ,  500  ,13
1,     167,  501,                 XN-GEN川红房子#02,                                             有功功率P,  0,                      WholeNet,Output17.txt,     7
1,     168,  501,                 XN-GEN川红房子#02,                                             无功功率Q,  0,                      WholeNet,Output17.txt,     8
1,     169,  501,                XN-GEN川红和风电#01,                                             有功功率P,  0,                      WholeNet,Output17.txt,     9
1,     170,  501,                XN-GEN川红和风电#01,                                             无功功率Q,  0,                      WholeNet,Output17.txt,    10
1,     171,  501,                  XN-GEN川猴子岩#1,                                             有功功率P,  0,                      WholeNet,Output18.txt,     1
1,     172,  501,                  XN-GEN川猴子岩#1,                                             无功功率Q,  0,                      WholeNet,Output18.txt,     2
1,     173,  501,                  XN-GEN川葫芦坝#1,                                             有功功率P,  0,                      WholeNet,Output18.txt,     3
1,     174,  501,                  XN-GEN川葫芦坝#1,                                             无功功率Q,  0,                      WholeNet,Output18.txt,     4
1,     175,  501,                  XN-GEN川葫芦坝#2,                                             有功功率P,  0,                      WholeNet,Output18.txt,     5
1,     176,  501,                  XN-GEN川葫芦坝#2,                                             无功功率Q,  0,                      WholeNet,Output18.txt,     6
1,     177,  501,                  XN-GEN川华山沟#1,                                             有功功率P,  0,                      WholeNet,Output18.txt,     7
1,     178,  501,                  XN-GEN川华山沟#1,                                             无功功率Q,  0,                      WholeNet,Output18.txt,     8
1,     179,  501,                 XN-GEN川黄金坪#01,                                             有功功率P,  0,                      WholeNet,Output18.txt,     9
1,     180,  501,                 XN-GEN川黄金坪#01,                                             无功功率Q,  0,                      WholeNet,Output18.txt,    10
1,     181,  501,                 XN-GEN川黄金坪#02,                                             有功功率P,  0,                      WholeNet,Output19.txt,     1
1,     182,  501,                 XN-GEN川黄金坪#02,                                             无功功率Q,  0,                      WholeNet,Output19.txt,     2
1,     183,  501,                XN-GEN川火烈风电#01,                                             有功功率P,  0,                      WholeNet,Output19.txt,     3
1,     184,  501,                XN-GEN川火烈风电#01,                                             无功功率Q,  0,                      WholeNet,Output19.txt,     4
1,     185,  501,                   XN-GEN川吉鱼81,                                             有功功率P,  0,                      WholeNet,Output19.txt,     5
1,     186,  501,                   XN-GEN川吉鱼81,                                             无功功率Q,  0,                      WholeNet,Output19.txt,     6
1,     187,  501,                   XN-GEN川吉鱼82,                                             有功功率P,  0,                      WholeNet,Output19.txt,     7
1,     188,  501,                   XN-GEN川吉鱼82,                                             无功功率Q,  0,                      WholeNet,Output19.txt,     8
1,     189,  501,                   XN-GEN川吉鱼83,                                             有功功率P,  0,                      WholeNet,Output19.txt,     9
1,     190,  501,                   XN-GEN川吉鱼83,                                             无功功率Q,  0,                      WholeNet,Output19.txt,    10
1,     191,  501,               XN-GEN川甲米河二级#01,                                             有功功率P,  0,                      WholeNet,Output20.txt,     1
1,     192,  501,               XN-GEN川甲米河二级#01,                                             无功功率Q,  0,                      WholeNet,Output20.txt,     2
1,     193,  501,               XN-GEN川甲米河二级#02,                                             有功功率P,  0,                      WholeNet,Output20.txt,     3
1,     194,  501,               XN-GEN川甲米河二级#02,                                             无功功率Q,  0,                      WholeNet,Output20.txt,     4
1,     195,  501,               XN-GEN川甲米河二级#03,                                             有功功率P,  0,                      WholeNet,Output20.txt,     5
1,     196,  501,               XN-GEN川甲米河二级#03,                                             无功功率Q,  0,                      WholeNet,Output20.txt,     6
1,     197,  501,                 XN-GEN川姜射坝#01,                                             有功功率P,  0,                      WholeNet,Output20.txt,     7
1,     198,  501,                 XN-GEN川姜射坝#01,                                             无功功率Q,  0,                      WholeNet,Output20.txt,     8
1,     199,  501,                 XN-GEN川姜射坝#02,                                             有功功率P,  0,                      WholeNet,Output20.txt,     9
1,     200,  501,                 XN-GEN川姜射坝#02,                                             无功功率Q,  0,                      WholeNet,Output20.txt,    10
1,     201,  501,                 XN-GEN川姜射坝#03,                                             有功功率P,  0,                      WholeNet,Output21.txt,     1
1,     202,  501,                 XN-GEN川姜射坝#03,                                             无功功率Q,  0,                      WholeNet,Output21.txt,     2
1,     203,  501,                   XN-GEN川江边#1,                                             有功功率P,  0,                      WholeNet,Output21.txt,     3
1,     204,  501,                   XN-GEN川江边#1,                                             无功功率Q,  0,                      WholeNet,Output21.txt,     4
1,     205,  501,                   XN-GEN川江边#2,                                             有功功率P,  0,                      WholeNet,Output21.txt,     5
1,     206,  501,                   XN-GEN川江边#2,                                             无功功率Q,  0,                      WholeNet,Output21.txt,     6
1,     207,  501,                   XN-GEN川江边#3,                                             有功功率P,  0,                      WholeNet,Output21.txt,     7
1,     208,  501,                   XN-GEN川江边#3,                                             无功功率Q,  0,                      WholeNet,Output21.txt,     8
1,     209,  501,                  XN-GEN川江油#31,                                             有功功率P,  0,                      WholeNet,Output21.txt,     9
1,     210,  501,                  XN-GEN川江油#31,                                             无功功率Q,  0,                      WholeNet,Output21.txt,    10
1,     211,  501,                 XN-GEN川交财湾#01,                                             有功功率P,  0,                      WholeNet,Output22.txt,     1
1,     212,  501,                 XN-GEN川交财湾#01,                                             无功功率Q,  0,                      WholeNet,Output22.txt,     2
1,     213,  501,                 XN-GEN川交财湾#02,                                             有功功率P,  0,                      WholeNet,Output22.txt,     3
1,     214,  501,                 XN-GEN川交财湾#02,                                             无功功率Q,  0,                      WholeNet,Output22.txt,     4
1,     215,  501,                 XN-GEN川脚基坪#01,                                             有功功率P,  0,                      WholeNet,Output22.txt,     5
1,     216,  501,                 XN-GEN川脚基坪#01,                                             无功功率Q,  0,                      WholeNet,Output22.txt,     6
1,     217,  501,                 XN-GEN川脚基坪#02,                                             有功功率P,  0,                      WholeNet,Output22.txt,     7
1,     218,  501,                 XN-GEN川脚基坪#02,                                             无功功率Q,  0,                      WholeNet,Output22.txt,     8
1,     219,  501,                  XN-GEN川金康#01,                                             有功功率P,  0,                      WholeNet,Output22.txt,     9
1,     220,  501,                  XN-GEN川金康#01,                                             无功功率Q,  0,                      WholeNet,Output22.txt,    10
1,     221,  501,                  XN-GEN川金康#02,                                             有功功率P,  0,                      WholeNet,Output23.txt,     1
1,     222,  501,                  XN-GEN川金康#02,                                             无功功率Q,  0,                      WholeNet,Output23.txt,     2
1,     223,  501,                 XN-GEN川金龙潭#01,                                             有功功率P,  0,                      WholeNet,Output23.txt,     3
1,     224,  501,                 XN-GEN川金龙潭#01,                                             无功功率Q,  0,                      WholeNet,Output23.txt,     4
1,     225,  501,                 XN-GEN川金堂厂#61,                                             有功功率P,  0,                      WholeNet,Output23.txt,     5
1,     226,  501,                 XN-GEN川金堂厂#61,                                             无功功率Q,  0,                      WholeNet,Output23.txt,     6
1,     227,  501,                 XN-GEN川金银台#01,                                             有功功率P,  0,                      WholeNet,Output23.txt,     7
1,     228,  501,                 XN-GEN川金银台#01,                                             无功功率Q,  0,                      WholeNet,Output23.txt,     8
1,     229,  501,                 XN-GEN川金银台#02,                                             有功功率P,  0,                      WholeNet,Output23.txt,     9
1,     230,  501,                 XN-GEN川金银台#02,                                             无功功率Q,  0,                      WholeNet,Output23.txt,    10
1,     231,  501,                 XN-GEN川金银台#03,                                             有功功率P,  0,                      WholeNet,Output24.txt,     1
1,     232,  501,                 XN-GEN川金银台#03,                                             无功功率Q,  0,                      WholeNet,Output24.txt,     2
1,     233,  501,                  XN-GEN川锦东#01,                                             有功功率P,  0,                      WholeNet,Output24.txt,     3
1,     234,  501,                  XN-GEN川锦东#01,                                             无功功率Q,  0,                      WholeNet,Output24.txt,     4
1,     235,  501,                  XN-GEN川锦东#02,                                             有功功率P,  0,                      WholeNet,Output24.txt,     5
1,     236,  501,                  XN-GEN川锦东#02,                                             无功功率Q,  0,                      WholeNet,Output24.txt,     6
1,     237,  501,                  XN-GEN川锦东#03,                                             有功功率P,  0,                      WholeNet,Output24.txt,     7
1,     238,  501,                  XN-GEN川锦东#03,                                             无功功率Q,  0,                      WholeNet,Output24.txt,     8
1,     239,  501,                  XN-GEN川锦东#04,                                             有功功率P,  0,                      WholeNet,Output24.txt,     9
1,     240,  501,                  XN-GEN川锦东#04,                                             无功功率Q,  0,                      WholeNet,Output24.txt,    10
1,     241,  501,                  XN-GEN川锦东#05,                                             有功功率P,  0,                      WholeNet,Output25.txt,     1
1,     242,  501,                  XN-GEN川锦东#05,                                             无功功率Q,  0,                      WholeNet,Output25.txt,     2
1,     243,  501,                  XN-GEN川锦东#06,                                             有功功率P,  0,                      WholeNet,Output25.txt,     3
1,     244,  501,                  XN-GEN川锦东#06,                                             无功功率Q,  0,                      WholeNet,Output25.txt,     4
1,     245,  501,                  XN-GEN川锦东#07,                                             有功功率P,  0,                      WholeNet,Output25.txt,     5
1,     246,  501,                  XN-GEN川锦东#07,                                             无功功率Q,  0,                      WholeNet,Output25.txt,     6
1,     247,  501,                  XN-GEN川锦东#08,                                             有功功率P,  0,                      WholeNet,Output25.txt,     7
1,     248,  501,                  XN-GEN川锦东#08,                                             无功功率Q,  0,                      WholeNet,Output25.txt,     8
1,     249,  501,                  XN-GEN川锦西#01,                                             有功功率P,  0,                      WholeNet,Output25.txt,     9
1,     250,  501,                  XN-GEN川锦西#01,                                             无功功率Q,  0,                      WholeNet,Output25.txt,    10
1,     251,  501,                  XN-GEN川锦西#02,                                             有功功率P,  0,                      WholeNet,Output26.txt,     1
1,     252,  501,                  XN-GEN川锦西#02,                                             无功功率Q,  0,                      WholeNet,Output26.txt,     2
1,     253,  501,                  XN-GEN川锦西#03,                                             有功功率P,  0,                      WholeNet,Output26.txt,     3
1,     254,  501,                  XN-GEN川锦西#03,                                             无功功率Q,  0,                      WholeNet,Output26.txt,     4
1,     255,  501,                  XN-GEN川锦西#04,                                             有功功率P,  0,                      WholeNet,Output26.txt,     5
1,     256,  501,                  XN-GEN川锦西#04,                                             无功功率Q,  0,                      WholeNet,Output26.txt,     6
1,     257,  501,                  XN-GEN川锦西#05,                                             有功功率P,  0,                      WholeNet,Output26.txt,     7
